               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                 123,              2.6123,               1.526,              1.2069,             0.69859,             0.49029,             0.55113,             0.24824,                   0,                   0,                   0,           0.0075844,           0.0075844,           0.0075844
                 124,              2.6079,              1.5217,              1.2037,             0.69555,             0.49123,              0.5509,             0.24856,                   0,                   0,                   0,           0.0075646,           0.0075646,           0.0075646
                 125,              2.5819,              1.5073,              1.2068,             0.69891,             0.49202,             0.55173,             0.24888,                   0,                   0,                   0,           0.0075448,           0.0075448,           0.0075448
                 126,              2.6086,              1.5192,              1.2077,             0.69905,              0.4912,             0.55203,             0.24882,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                 127,              2.5816,              1.4925,              1.2088,             0.69948,             0.49009,             0.55082,              0.2488,                   0,                   0,                   0,           0.0075052,           0.0075052,           0.0075052
                 128,              2.6006,              1.5084,              1.1986,             0.69926,             0.48801,             0.55008,             0.24859,                   0,                   0,                   0,           0.0074854,           0.0074854,           0.0074854
                 129,              2.5982,               1.515,              1.2066,             0.69917,             0.48937,             0.55038,             0.24872,                   0,                   0,                   0,           0.0074656,           0.0074656,           0.0074656
                 130,              2.5802,              1.4973,              1.2076,             0.70139,              0.4893,             0.55201,             0.24926,                   0,                   0,                   0,           0.0074458,           0.0074458,           0.0074458
                 131,              2.5894,              1.5003,              1.2044,             0.70344,             0.48873,              0.5521,             0.24944,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                 132,              2.5857,              1.4991,              1.2038,             0.70472,             0.49037,              0.5521,             0.24901,                   0,                   0,                   0,           0.0074062,           0.0074062,           0.0074062
                 133,              2.5771,              1.4958,              1.2069,              0.7081,             0.48764,             0.55245,             0.24983,                   0,                   0,                   0,           0.0073864,           0.0073864,           0.0073864
                 134,               2.578,              1.4979,              1.2008,             0.70172,             0.49187,             0.55282,             0.25052,                   0,                   0,                   0,           0.0073666,           0.0073666,           0.0073666
                 135,              2.5856,              1.5041,              1.2076,             0.70228,             0.49259,             0.55301,             0.25072,                   0,                   0,                   0,           0.0073468,           0.0073468,           0.0073468
                 136,              2.5708,              1.4882,              1.2121,             0.69813,             0.49517,             0.55415,             0.25094,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                 137,              2.5817,              1.5099,              1.2093,             0.69606,             0.49674,             0.55483,             0.25134,                   0,                   0,                   0,           0.0073072,           0.0073072,           0.0073072
                 138,              2.5774,              1.4973,              1.2086,              0.6959,             0.49674,             0.55437,             0.25142,                   0,                   0,                   0,           0.0072874,           0.0072874,           0.0072874
                 139,              2.5817,              1.4793,              1.2007,             0.69588,             0.49703,             0.55484,             0.25165,                   0,                   0,                   0,           0.0072676,           0.0072676,           0.0072676
                 140,              2.5717,              1.4936,              1.2061,             0.69847,             0.49653,             0.55522,             0.25194,                   0,                   0,                   0,           0.0072478,           0.0072478,           0.0072478
                 141,              2.5845,              1.4992,              1.1925,             0.69434,             0.49843,             0.55518,             0.25211,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                 142,              2.5856,              1.4962,              1.2051,             0.69332,              0.4996,             0.55608,             0.25236,                   0,                   0,                   0,           0.0072082,           0.0072082,           0.0072082
                 143,              2.5674,              1.4764,              1.1968,             0.69528,             0.49786,             0.55639,             0.25246,                   0,                   0,                   0,           0.0071884,           0.0071884,           0.0071884
                 144,              2.5841,              1.5011,               1.199,             0.69423,             0.50025,             0.55635,             0.25252,                   0,                   0,                   0,           0.0071686,           0.0071686,           0.0071686
                 145,              2.5472,              1.4687,              1.1982,             0.69307,             0.50068,             0.55646,              0.2526,                   0,                   0,                   0,           0.0071488,           0.0071488,           0.0071488
                 146,              2.5505,              1.4744,              1.1988,             0.69454,             0.49955,             0.55654,             0.25288,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                 147,              2.5847,              1.4964,              1.1911,             0.69342,             0.49889,             0.55551,             0.25311,                   0,                   0,                   0,           0.0071092,           0.0071092,           0.0071092
                 148,              2.5695,               1.485,              1.1963,             0.69478,             0.49875,             0.55576,             0.25308,                   0,                   0,                   0,           0.0070894,           0.0070894,           0.0070894
                 149,              2.5525,              1.4713,              1.1935,             0.69403,             0.50018,             0.55667,             0.25356,                   0,                   0,                   0,           0.0070696,           0.0070696,           0.0070696
                 150,               2.547,              1.4673,               1.201,             0.69358,             0.50068,             0.55706,             0.25379,                   0,                   0,                   0,           0.0070498,           0.0070498,           0.0070498
                 151,              2.5474,              1.4594,               1.202,             0.69323,             0.50117,             0.55775,             0.25408,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                 152,              2.5509,              1.4644,              1.1983,             0.69367,             0.50139,              0.5577,              0.2543,                   0,                   0,                   0,           0.0070102,           0.0070102,           0.0070102
                 153,              2.5777,              1.4867,              1.1955,             0.69355,             0.50197,             0.55794,             0.25447,                   0,                   0,                   0,           0.0069904,           0.0069904,           0.0069904
                 154,              2.6122,              1.4966,              1.1953,             0.69439,             0.50228,             0.55798,             0.25454,                   0,                   0,                   0,           0.0069706,           0.0069706,           0.0069706
                 155,              2.6104,               1.495,              1.1853,             0.69454,             0.50319,             0.55884,             0.25492,                   0,                   0,                   0,           0.0069508,           0.0069508,           0.0069508
                 156,              2.6309,              1.5159,              1.1963,             0.69622,             0.50326,             0.55842,             0.25484,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                 157,              2.6325,              1.5009,              1.1852,             0.69774,             0.50385,             0.55927,             0.25511,                   0,                   0,                   0,           0.0069112,           0.0069112,           0.0069112
                 158,              2.5983,              1.4947,              1.1842,             0.69903,             0.50233,             0.55908,             0.25516,                   0,                   0,                   0,           0.0068914,           0.0068914,           0.0068914
                 159,              2.6144,              1.5094,              1.1822,              0.6989,             0.50249,             0.55983,             0.25557,                   0,                   0,                   0,           0.0068716,           0.0068716,           0.0068716
                 160,              2.5837,              1.4882,              1.1782,             0.69888,             0.50277,             0.55996,              0.2554,                   0,                   0,                   0,           0.0068518,           0.0068518,           0.0068518
                 161,              2.5925,              1.5071,              1.1795,             0.69951,             0.50194,             0.56008,              0.2559,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                 162,              2.5902,              1.4841,              1.1782,             0.69798,             0.50233,             0.56013,             0.25607,                   0,                   0,                   0,           0.0068122,           0.0068122,           0.0068122
                 163,              2.6056,              1.5074,              1.1808,             0.69987,              0.5019,             0.56084,             0.25633,                   0,                   0,                   0,           0.0067924,           0.0067924,           0.0067924
